id,barcode,name,price,stock,description,purchasePrice,categoryId,wholesaPrice,howToSell,isActive,entry,output,imgUrl,stocktaking,minimumstock
1,7.501E+12,Nito,6,0,Cont. Neto 62g,4.86,1,4.8,Unidad,1,0,0,default.png,1,1
2,7.501E+12,Donitas espolvoreadas,10,0,6 piezas Cont. neto 105 g,7.64,1,8,Unidad,1,0,0,default.png,1,1
3,7.50103E+12,Dona,3,0,1 pieza cont. neto 26 g,2.28,1,2.4,Unidad,1,0,0,default.png,1,1
4,7.501E+12,Rebanadas,5,0,2 piezas cont. neto 55g,3.78,1,4,Unidad,1,0,0,default.png,1,1
5,7.501E+12,mantecadas,11,0,4 piezas cont. neto 125g,8.38,1,8.8,Unidad,1,0,0,default.png,1,1
6,7.501E+12,PingÇ¯inos,10,0,2 piezas cont. neto 80 g,7.41,1,8,Unidad,1,0,0,default.png,1,1
7,75002275,Choco Roles,10,0,sabor piÇña 2 piezas 80g,7.5,1,8,Unidad,1,0,0,default.png,1,1
8,7.501E+12,Dalmata,6,0,Cont. Neto 55g,4.54,1,4.8,Unidad,1,0,0,default.png,1,1
9,7.501E+12,Barritas PiÇña,8,-2,2 piezas cont. neto 67 g,6.25,1,6.4,Unidad,1,0,0,default.png,1,1
10,7.501E+12,Barritas Fresa,8,0,2 piezas cont. neto 67 g,6.25,1,6.4,Unidad,1,0,0,default.png,1,1
11,7.501E+12,Gansito,0,0,Gansito,0,1,0,Unidad,1,0,0,default.png,1,1
12,7.50103E+12,Mantecada,3,0,Cont. neto 31 g,2.46,1,2.4,Unidad,1,0,0,default.png,1,1
13,7.50103E+12,Principe Limon,10,0,10 piezas 106g,7.78,1,8,Unidad,1,0,0,default.png,1,1
14,7.501E+12,Principe Chocolate,10,0,10 piezas 106g,8.41,1,8,Unidad,1,0,0,default.png,1,1
15,7.501E+12,Principe Chocolate blanco,10,0,10 piezas 110g,7.78,1,8,Unidad,1,0,0,default.png,1,1
16,7.50103E+12,Canelitas,8,0,9 piezas 90g,6.25,1,6.4,Unidad,1,0,0,default.png,1,1
17,7.501E+12,Triki Trakes,8,0,8 piezas 69g,6.15,1,6.4,Unidad,1,0,0,default.png,1,1
19,1,Impresion Carta 1,1,235,Impresion Carta 1,0.14,8,0.8,Paquete,0,0,0,default.png,1,1
20,2,Impresion Carta 2,2,13,Impresion Carta 2,0.14,8,1.6,Paquete,0,0,0,default.png,1,1
21,3,Impresion Carta 3,3,-435,Impresion Carta 3,0.14,8,2.4,Paquete,0,0,0,default.png,1,1
22,4,Impresion Carta 4,4,1,Impresion Carta 4,0.14,8,3.2,Paquete,0,0,0,default.png,1,1
23,5,Impresion Carta 5,5,8,Impresion Carta 5,0.14,8,4,Paquete,0,0,0,default.png,1,1
24,6,Impresion carta 6,6,-8,Impresion carta 6,0.14,8,4.8,Paquete,0,0,0,default.png,1,1
25,7,Impresion carta 7,7,0,Impresion carta 7,0.14,8,5.6,Paquete,0,0,0,default.png,1,1
26,8,Impresion carta 8,8,2,Impresion carta 8,0.14,8,6.4,Paquete,0,0,0,default.png,1,1
27,9,Impresion carta 9,9,-7,Impresion carta 9,0.14,8,7.2,Paquete,0,0,0,default.png,1,1
28,10,Impresion carta 10,10,9,Impresion carta 10,0.14,8,8,Paquete,0,0,0,default.png,1,1
29,11,Impresion Carta 0.50,0.5,-165,Impresion Carta 0.50,0.14,8,0.4,Paquete,0,0,0,default.png,1,1
